[ 00:03:11.393 -->  00:03:13.215] S SPEAKER_04
[ 00:45:06.173 -->  00:45:07.658] QP SPEAKER_03
[ 00:45:07.742 -->  00:45:08.856] QQ SPEAKER_03
[ 00:45:09.345 -->  00:45:11.252] QR SPEAKER_03
[ 00:45:11.910 -->  00:45:13.497] QS SPEAKER_03
[ 00:45:14.054 -->  00:45:15.927] QT SPEAKER_03
[ 00:45:16.146 -->  00:45:16.872] QU SPEAKER_03
[ 00:45:17.277 -->  00:45:18.357] QV SPEAKER_03
[ 00:45:18.542 -->  00:45:21.765] QW SPEAKER_03
[ 00:45:22.272 -->  00:45:22.862] QX SPEAKER_03
[ 00:45:23.217 -->  00:45:24.145] QY SPEAKER_03
[ 00:45:24.685 -->  00:45:27.267] QZ SPEAKER_03
[ 00:45:27.959 -->  00:45:32.515] RA SPEAKER_03
[ 00:45:32.970 -->  00:45:33.375] RB SPEAKER_03
[ 00:45:33.831 -->  00:45:36.767] RC SPEAKER_03
[ 00:45:37.358 -->  00:45:39.434] RD SPEAKER_03
[ 00:45:40.024 -->  00:45:40.632] RE SPEAKER_03
[ 00:45:41.256 -->  00:45:41.914] RF SPEAKER_03
[ 00:45:42.505 -->  00:45:45.120] RG SPEAKER_03
[ 00:45:45.205 -->  00:45:46.724] RH SPEAKER_03
[ 00:45:47.365 -->  00:45:52.208] RI SPEAKER_03
[ 00:45:52.697 -->  00:45:57.996] RJ SPEAKER_03
[ 00:45:58.620 -->  00:45:59.312] RK SPEAKER_03
[ 00:46:00.072 -->  00:46:02.198] RL SPEAKER_03
[ 00:46:02.670 -->  00:46:05.387] RM SPEAKER_03
[ 00:46:06.012 -->  00:46:10.315] RN SPEAKER_03
[ 00:46:10.956 -->  00:46:16.744] RO SPEAKER_03
[ 00:46:17.352 -->  00:46:18.044] RP SPEAKER_03
[ 00:46:18.617 -->  00:46:20.220] RQ SPEAKER_03
[ 00:46:20.760 -->  00:46:25.823] RR SPEAKER_03
[ 00:46:26.042 -->  00:46:27.612] RS SPEAKER_03
[ 00:46:27.983 -->  00:46:29.198] RT SPEAKER_03
[ 00:46:29.603 -->  00:46:34.800] RU SPEAKER_03
[ 00:46:35.307 -->  00:46:36.589] RV SPEAKER_03
[ 00:46:35.408 -->  00:46:35.425] RX SPEAKER_04
[ 00:46:37.079 -->  00:46:38.412] RZ SPEAKER_03
[ 00:46:38.800 -->  00:46:39.492] SA SPEAKER_03
[ 00:46:39.897 -->  00:46:43.255] SB SPEAKER_03
[ 00:46:43.626 -->  00:46:46.596] SC SPEAKER_03
[ 00:46:46.849 -->  00:46:48.587] SD SPEAKER_03
[ 00:46:48.790 -->  00:46:50.410] SE SPEAKER_03
[ 00:46:50.781 -->  00:46:54.494] SF SPEAKER_03
[ 00:46:54.713 -->  00:46:55.202] SG SPEAKER_03
[ 00:46:55.810 -->  00:46:56.316] SH SPEAKER_03
[ 00:46:56.822 -->  00:46:57.767] SI SPEAKER_03
[ 00:46:58.155 -->  00:46:59.708] SJ SPEAKER_03
[ 00:47:00.045 -->  00:47:01.176] SK SPEAKER_03
[ 00:47:01.581 -->  00:47:02.121] SL SPEAKER_03
[ 00:47:02.661 -->  00:47:04.180] SM SPEAKER_03
[ 00:47:04.619 -->  00:47:08.618] SN SPEAKER_03
[ 00:47:09.107 -->  00:47:10.525] SO SPEAKER_03
[ 00:47:11.200 -->  00:47:14.440] SP SPEAKER_03
[ 00:47:14.862 -->  00:47:17.460] SQ SPEAKER_03
[ 00:47:17.950 -->  00:47:19.047] SR SPEAKER_03
[ 00:47:19.823 -->  00:47:23.957] SS SPEAKER_03
[ 00:47:24.278 -->  00:47:26.151] ST SPEAKER_03
[ 00:47:26.539 -->  00:47:29.459] SU SPEAKER_03
[ 00:47:29.830 -->  00:47:31.922] SV SPEAKER_03
[ 00:47:32.496 -->  00:47:34.622] SW SPEAKER_03
[ 00:47:35.179 -->  00:47:37.170] SX SPEAKER_03
[ 00:47:37.778 -->  00:47:39.465] SY SPEAKER_03
[ 00:47:40.191 -->  00:47:43.347] SZ SPEAKER_03
[ 00:47:43.718 -->  00:47:44.950] TA SPEAKER_03
[ 00:47:45.372 -->  00:47:48.899] TB SPEAKER_03
[ 00:47:49.152 -->  00:47:50.282] TC SPEAKER_03
[ 00:47:50.839 -->  00:47:52.257] TD SPEAKER_03
[ 00:47:52.392 -->  00:47:52.982] TE SPEAKER_03
[ 00:47:53.455 -->  00:47:53.961] TF SPEAKER_03
[ 00:47:54.535 -->  00:47:56.104] TG SPEAKER_03
[ 00:47:56.425 -->  00:48:01.184] TH SPEAKER_03
[ 00:48:01.639 -->  00:48:02.888] TI SPEAKER_03
[ 00:48:03.360 -->  00:48:04.221] TJ SPEAKER_03
[ 00:48:04.356 -->  00:48:06.027] TK SPEAKER_03
[ 00:48:06.449 -->  00:48:07.495] TL SPEAKER_03
[ 00:48:08.288 -->  00:48:08.845] TM SPEAKER_03
[ 00:48:09.250 -->  00:48:12.338] TN SPEAKER_03
[ 00:48:12.844 -->  00:48:14.835] TO SPEAKER_03
[ 00:48:15.156 -->  00:48:17.181] TP SPEAKER_03
[ 00:48:17.805 -->  00:48:19.037] TQ SPEAKER_03
[ 00:48:22.328 -->  00:48:22.952] TT SPEAKER_03
[ 00:48:41.177 -->  00:48:45.599] TV SPEAKER_03
[ 00:48:45.885 -->  00:48:47.877] TW SPEAKER_03
[ 00:48:48.214 -->  00:48:52.112] TX SPEAKER_03
[ 00:48:52.315 -->  00:48:52.905] TY SPEAKER_03
[ 00:48:53.243 -->  00:48:57.360] TZ SPEAKER_03
[ 00:48:58.019 -->  00:48:59.419] UA SPEAKER_03
[ 00:48:59.757 -->  00:49:04.414] UB SPEAKER_03
[ 00:49:04.836 -->  00:49:06.726] UC SPEAKER_03
[ 00:49:07.215 -->  00:49:08.009] UD SPEAKER_03
[ 00:49:08.329 -->  00:49:09.426] UE SPEAKER_03
[ 00:49:09.814 -->  00:49:12.447] UF SPEAKER_03
[ 00:49:12.767 -->  00:49:20.260] UG SPEAKER_03
[ 00:49:20.850 -->  00:49:23.027] UH SPEAKER_03
[ 00:49:23.230 -->  00:49:24.867] UI SPEAKER_03
[ 00:49:25.474 -->  00:49:27.060] UJ SPEAKER_03
[ 00:49:27.415 -->  00:49:30.874] UK SPEAKER_03
[ 00:49:31.347 -->  00:49:32.798] UL SPEAKER_03
[ 00:49:33.287 -->  00:49:39.126] UM SPEAKER_03
[ 00:49:39.700 -->  00:49:44.340] UN SPEAKER_03
[ 00:49:44.880 -->  00:49:47.125] UO SPEAKER_03
[ 00:49:47.631 -->  00:49:49.994] UQ SPEAKER_03
[ 00:49:50.466 -->  00:49:52.356] UR SPEAKER_03
[ 00:49:52.795 -->  00:49:55.545] US SPEAKER_03
[ 00:49:55.967 -->  00:49:58.178] UT SPEAKER_03
[ 00:49:58.752 -->  00:50:00.675] UU SPEAKER_03
[ 00:50:01.114 -->  00:50:04.793] UV SPEAKER_03
[ 00:50:05.198 -->  00:50:06.261] UW SPEAKER_03
[ 00:50:06.801 -->  00:50:10.767] UX SPEAKER_03
[ 00:50:11.594 -->  00:50:12.218] UY SPEAKER_03
[ 00:50:12.387 -->  00:50:12.589] UZ SPEAKER_03
[ 00:50:13.129 -->  00:50:16.032] VA SPEAKER_03
[ 00:50:16.538 -->  00:50:17.837] VB SPEAKER_03
[ 00:50:18.445 -->  00:50:22.410] VC SPEAKER_03
[ 00:50:22.849 -->  00:50:30.139] VD SPEAKER_03
[ 00:50:30.662 -->  00:50:36.197] VE SPEAKER_03
[ 00:50:36.670 -->  00:50:37.851] VF SPEAKER_03
[ 00:50:38.256 -->  00:50:40.551] VG SPEAKER_03
[ 00:50:40.973 -->  00:50:41.631] VH SPEAKER_03
[ 00:50:41.766 -->  00:50:43.859] VI SPEAKER_03
[ 00:50:44.466 -->  00:50:45.310] VJ SPEAKER_03
[ 00:50:45.630 -->  00:50:48.432] VK SPEAKER_03
[ 00:50:48.938 -->  00:50:50.760] VL SPEAKER_03
[ 00:50:50.980 -->  00:50:51.638] VM SPEAKER_03
[ 00:50:52.212 -->  00:50:53.984] VN SPEAKER_03
[ 00:50:54.389 -->  00:50:55.165] VO SPEAKER_03
[ 00:50:55.502 -->  00:50:59.367] VP SPEAKER_03
[ 00:50:59.839 -->  00:51:04.817] VQ SPEAKER_03
[ 00:51:05.256 -->  00:51:07.079] VR SPEAKER_03
[ 00:51:07.517 -->  00:51:11.567] VS SPEAKER_03
[ 00:51:11.837 -->  00:51:12.563] VT SPEAKER_03
[ 00:51:12.951 -->  00:51:15.280] VU SPEAKER_03
[ 00:51:15.432 -->  00:51:17.710] VV SPEAKER_03
[ 00:51:18.149 -->  00:51:20.933] VW SPEAKER_03
[ 00:51:21.338 -->  00:51:22.806] VX SPEAKER_03
[ 00:51:23.295 -->  00:51:24.409] VY SPEAKER_03
[ 00:51:25.270 -->  00:51:29.674] VZ SPEAKER_03
[ 00:51:30.467 -->  00:51:31.311] WA SPEAKER_03
[ 00:51:31.716 -->  00:51:32.577] WB SPEAKER_03
[ 00:51:32.965 -->  00:51:35.091] WC SPEAKER_03
[ 00:51:35.277 -->  00:51:39.141] WD SPEAKER_03
[ 00:51:39.732 -->  00:51:42.651] WE SPEAKER_03
[ 00:51:43.107 -->  00:51:45.705] WF SPEAKER_03
[ 00:51:46.229 -->  00:51:46.785] WG SPEAKER_03
[ 00:51:47.106 -->  00:51:49.975] WH SPEAKER_03
[ 00:51:50.565 -->  00:51:51.021] WI SPEAKER_03
[ 00:51:51.460 -->  00:51:56.438] WJ SPEAKER_03
[ 00:51:56.860 -->  00:52:00.488] WK SPEAKER_03
[ 00:52:00.994 -->  00:52:02.682] WM SPEAKER_03
[ 00:52:02.850 -->  00:52:05.888] WN SPEAKER_03
[ 00:52:06.327 -->  00:52:09.752] WO SPEAKER_03
[ 00:52:10.309 -->  00:52:10.326] WP SPEAKER_03
[ 00:52:10.326 -->  00:52:10.343] WQ SPEAKER_04
[ 00:52:10.343 -->  00:52:10.461] WR SPEAKER_03
[ 00:52:10.461 -->  00:52:10.529] WS SPEAKER_04
[ 00:52:10.529 -->  00:52:10.579] WT SPEAKER_03
[ 00:52:10.714 -->  00:52:11.929] WU SPEAKER_03
[ 00:52:12.216 -->  00:52:14.865] WV SPEAKER_03
[ 00:52:15.321 -->  00:52:16.975] WW SPEAKER_03
[ 00:52:17.414 -->  00:52:18.477] WX SPEAKER_03
[ 00:52:18.780 -->  00:52:25.277] WY SPEAKER_03
[ 00:52:25.649 -->  00:52:25.665] WZ SPEAKER_03
[ 00:52:26.003 -->  00:52:26.054] XB SPEAKER_03
[ 00:52:26.847 -->  00:52:27.353] XC SPEAKER_03
[ 00:52:27.876 -->  00:52:30.542] XD SPEAKER_03
[ 00:52:30.981 -->  00:52:31.656] XE SPEAKER_03
[ 00:52:31.994 -->  00:52:35.689] XF SPEAKER_03
[ 00:52:36.246 -->  00:52:39.419] XG SPEAKER_03
[ 00:52:36.499 -->  00:52:36.584] XH SPEAKER_04
[ 00:52:40.077 -->  00:52:41.039] XI SPEAKER_03
[ 00:52:41.511 -->  00:52:42.895] XJ SPEAKER_03
[ 00:52:43.064 -->  00:52:44.633] XK SPEAKER_03
[ 00:52:45.089 -->  00:52:46.017] XL SPEAKER_03
[ 00:52:46.540 -->  00:52:47.839] XM SPEAKER_03
[ 00:52:48.447 -->  00:52:50.522] XN SPEAKER_03
[ 00:52:50.927 -->  00:52:51.957] XO SPEAKER_03
[ 00:52:52.412 -->  00:52:53.577] XP SPEAKER_03
[ 00:52:53.864 -->  00:52:56.277] XQ SPEAKER_03
[ 00:52:56.817 -->  00:53:00.360] XR SPEAKER_03
[ 00:53:00.917 -->  00:53:03.449] XS SPEAKER_03
[ 00:53:03.921 -->  00:53:06.284] XT SPEAKER_03
[ 00:53:06.739 -->  00:53:11.076] XU SPEAKER_03
[ 00:53:11.599 -->  00:53:16.105] XV SPEAKER_03
[ 00:53:16.780 -->  00:53:20.931] XW SPEAKER_03
[ 00:53:21.336 -->  00:53:22.467] XX SPEAKER_03
[ 00:53:22.990 -->  00:53:26.247] XY SPEAKER_03
[ 00:53:26.736 -->  00:53:27.833] XZ SPEAKER_03
[ 00:53:28.322 -->  00:53:31.208] YA SPEAKER_03
[ 00:53:31.664 -->  00:53:34.684] YB SPEAKER_03
[ 00:53:35.224 -->  00:53:36.810] YC SPEAKER_03
[ 00:53:37.114 -->  00:53:38.835] YD SPEAKER_03
[ 00:53:39.477 -->  00:53:40.270] YE SPEAKER_03
[ 00:53:40.793 -->  00:53:41.097] YF SPEAKER_03
[ 00:53:41.417 -->  00:53:45.332] YG SPEAKER_03
[ 00:53:45.771 -->  00:53:49.956] YH SPEAKER_03
[ 00:53:50.412 -->  00:53:53.955] YI SPEAKER_03
[ 00:53:54.428 -->  00:53:55.322] YJ SPEAKER_03
[ 00:53:55.643 -->  00:53:59.052] YK SPEAKER_03
[ 00:53:59.355 -->  00:54:00.149] YL SPEAKER_03
[ 00:54:00.554 -->  00:54:02.714] YM SPEAKER_03
[ 00:54:03.372 -->  00:54:03.827] YN SPEAKER_03
[ 00:54:04.300 -->  00:54:06.443] YO SPEAKER_03
[ 00:54:06.932 -->  00:54:08.384] YP SPEAKER_03
[ 00:54:08.940 -->  00:54:11.067] YQ SPEAKER_03
[ 00:54:11.927 -->  00:54:13.598] YR SPEAKER_03
[ 00:54:13.919 -->  00:54:14.340] YS SPEAKER_03
[ 00:54:14.880 -->  00:54:15.539] YT SPEAKER_03
[ 00:54:15.775 -->  00:54:19.420] YU SPEAKER_03
[ 00:54:19.875 -->  00:54:21.985] YV SPEAKER_03
[ 00:54:22.474 -->  00:54:26.069] YW SPEAKER_03
[ 00:54:26.423 -->  00:54:30.524] YX SPEAKER_03
[ 00:54:30.726 -->  00:54:33.797] YY SPEAKER_03
[ 00:54:34.219 -->  00:54:36.092] YZ SPEAKER_03
[ 00:54:36.514 -->  00:54:38.573] ZA SPEAKER_03
[ 00:54:39.113 -->  00:54:41.273] ZB SPEAKER_03
[ 00:54:41.594 -->  00:54:43.585] ZC SPEAKER_03
[ 00:54:44.175 -->  00:54:51.314] ZD SPEAKER_03
[ 00:54:51.719 -->  00:54:53.001] ZE SPEAKER_03
[ 00:54:53.524 -->  00:54:57.794] ZF SPEAKER_03
[ 00:54:58.131 -->  00:55:01.574] ZG SPEAKER_03
[ 00:55:02.080 -->  00:55:03.548] ZH SPEAKER_03
[ 00:55:04.071 -->  00:55:05.691] ZI SPEAKER_03
[ 00:55:06.231 -->  00:55:09.876] ZJ SPEAKER_03
[ 00:55:10.264 -->  00:55:12.914] ZK SPEAKER_03
[ 00:55:13.268 -->  00:55:14.534] ZL SPEAKER_03
[ 00:55:15.276 -->  00:55:16.356] ZM SPEAKER_03
[ 00:55:16.845 -->  00:55:20.625] ZN SPEAKER_03
[ 00:55:21.317 -->  00:55:24.591] ZO SPEAKER_03
[ 00:55:24.895 -->  00:55:28.118] ZP SPEAKER_03
[ 00:55:28.692 -->  00:55:30.987] ZQ SPEAKER_03
[ 00:55:31.324 -->  00:55:32.607] ZR SPEAKER_03
[ 00:55:32.944 -->  00:55:33.299] ZS SPEAKER_03
[ 00:55:33.569 -->  00:55:36.657] ZT SPEAKER_03
[ 00:55:36.927 -->  00:55:37.956] ZU SPEAKER_03
[ 00:55:38.091 -->  00:55:38.749] ZV SPEAKER_03
[ 00:55:39.120 -->  00:55:39.863] ZW SPEAKER_03
[ 00:55:40.352 -->  00:55:41.196] ZX SPEAKER_03
[ 00:55:41.618 -->  00:55:43.187] ZY SPEAKER_03
[ 00:55:43.812 -->  00:55:46.748] ZZ SPEAKER_03
[ 00:55:47.322 -->  00:55:48.199] AAA SPEAKER_03
[ 00:55:48.284 -->  00:55:52.823] AAB SPEAKER_03
[ 00:55:53.380 -->  00:55:57.362] AAC SPEAKER_03
[ 00:55:57.565 -->  00:55:59.370] AAD SPEAKER_03
[ 00:55:59.759 -->  00:56:00.957] AAE SPEAKER_03
[ 00:56:01.345 -->  00:56:04.011] AAF SPEAKER_03
[ 00:56:04.500 -->  00:56:07.116] AAG SPEAKER_03
[ 00:56:07.875 -->  00:56:09.107] AAH SPEAKER_03
[ 00:56:09.597 -->  00:56:10.997] AAI SPEAKER_03
[ 00:56:11.419 -->  00:56:14.507] AAJ SPEAKER_03
[ 00:56:15.149 -->  00:56:17.157] AAK SPEAKER_03
[ 00:56:17.595 -->  00:56:18.372] AAL SPEAKER_03
[ 00:56:18.709 -->  00:56:20.295] AAM SPEAKER_03
[ 00:56:20.464 -->  00:56:23.265] AAN SPEAKER_03
[ 00:56:23.417 -->  00:56:24.160] AAO SPEAKER_03
[ 00:56:24.548 -->  00:56:27.923] AAP SPEAKER_03
[ 00:56:28.362 -->  00:56:32.614] AAS SPEAKER_03
[ 00:56:33.053 -->  00:56:36.327] AAT SPEAKER_03
[ 00:56:36.833 -->  00:56:41.575] AAU SPEAKER_03
[ 00:56:41.777 -->  00:56:46.384] AAV SPEAKER_03
[ 00:56:46.857 -->  00:56:50.147] AAW SPEAKER_03
[ 00:56:50.569 -->  00:56:52.139] AAX SPEAKER_03
[ 00:56:52.409 -->  00:56:56.880] AAY SPEAKER_03
[ 00:56:57.252 -->  00:56:57.640] AAZ SPEAKER_03
[ 00:56:57.758 -->  00:57:00.947] ABA SPEAKER_03
[ 00:57:01.335 -->  00:57:02.179] ABB SPEAKER_03
[ 00:57:02.534 -->  00:57:03.715] ABC SPEAKER_03
[ 00:57:04.019 -->  00:57:07.967] ABD SPEAKER_03
[ 00:57:08.423 -->  00:57:11.916] ABE SPEAKER_03
[ 00:57:12.422 -->  00:57:14.329] ABF SPEAKER_03
[ 00:57:14.549 -->  00:57:16.270] ABG SPEAKER_03
[ 00:57:16.793 -->  00:57:19.560] ABH SPEAKER_03
[ 00:57:20.185 -->  00:57:20.944] ABI SPEAKER_03
[ 00:57:21.501 -->  00:57:23.104] ABJ SPEAKER_03
[ 00:57:23.644 -->  00:57:24.960] ABK SPEAKER_03
[ 00:57:25.281 -->  00:57:26.142] ABL SPEAKER_03
[ 00:57:26.580 -->  00:57:28.673] ABM SPEAKER_03
[ 00:57:29.129 -->  00:57:30.580] ABN SPEAKER_03
[ 00:57:31.052 -->  00:57:33.094] ABO SPEAKER_03
[ 00:57:33.195 -->  00:57:35.693] ABP SPEAKER_03
[ 00:57:36.284 -->  00:57:37.769] ABQ SPEAKER_03
[ 00:57:38.207 -->  00:57:41.785] ABR SPEAKER_03
[ 00:57:42.207 -->  00:57:43.692] ABS SPEAKER_03
[ 00:57:44.063 -->  00:57:48.062] ABT SPEAKER_03
[ 00:57:48.839 -->  00:57:51.319] ABU SPEAKER_03
[ 00:57:51.606 -->  00:57:55.319] ABV SPEAKER_03
[ 00:57:55.690 -->  00:57:56.584] ABX SPEAKER_03
[ 00:57:56.905 -->  00:57:59.335] ABY SPEAKER_03
[ 00:57:59.504 -->  00:57:59.993] ABZ SPEAKER_03
[ 00:58:00.668 -->  00:58:01.259] ACA SPEAKER_03
[ 00:58:01.697 -->  00:58:03.047] ACB SPEAKER_03
[ 00:58:03.149 -->  00:58:07.654] ACC SPEAKER_03
[ 00:58:08.025 -->  00:58:10.574] ACD SPEAKER_03
[ 00:58:10.810 -->  00:58:11.940] ACE SPEAKER_03
[ 00:58:12.497 -->  00:58:15.754] ACF SPEAKER_03
[ 00:58:16.125 -->  00:58:16.497] ACG SPEAKER_03
[ 00:58:16.902 -->  00:58:18.353] ACH SPEAKER_03
[ 00:58:18.724 -->  00:58:19.770] ACI SPEAKER_03
[ 00:58:20.378 -->  00:58:23.702] ACJ SPEAKER_03
[ 00:58:23.939 -->  00:58:24.867] ACK SPEAKER_03
[ 00:58:25.457 -->  00:58:25.879] ACL SPEAKER_03
[ 00:58:26.470 -->  00:58:29.288] ACM SPEAKER_03
[ 00:58:29.710 -->  00:58:31.431] ACN SPEAKER_03
[ 00:58:31.785 -->  00:58:34.553] ACO SPEAKER_03
[ 00:58:34.890 -->  00:58:38.637] ACP SPEAKER_03
[ 00:58:38.839 -->  00:58:41.590] ACQ SPEAKER_03
[ 00:58:42.147 -->  00:58:42.569] ACR SPEAKER_03
[ 00:58:42.990 -->  00:58:49.234] ACS SPEAKER_03
[ 00:58:49.673 -->  00:58:50.736] ACT SPEAKER_03
[ 00:58:51.107 -->  00:58:55.157] ACU SPEAKER_03
[ 00:58:55.495 -->  00:58:56.474] ACV SPEAKER_03
[ 00:58:56.963 -->  00:58:58.870] ACW SPEAKER_03
[ 00:58:59.309 -->  00:59:00.000] ACX SPEAKER_03
[ 00:59:00.270 -->  00:59:01.722] ACZ SPEAKER_03
[ 00:59:02.076 -->  00:59:04.827] ADA SPEAKER_03
[ 00:59:05.265 -->  00:59:06.599] ADB SPEAKER_03
[ 00:59:06.936 -->  00:59:08.910] ADC SPEAKER_03
[ 00:59:09.231 -->  00:59:12.927] ADD SPEAKER_03
[ 00:59:13.298 -->  00:59:14.277] ADE SPEAKER_03
[ 00:59:14.665 -->  00:59:16.589] ADF SPEAKER_03
[ 00:59:17.061 -->  00:59:17.483] ADG SPEAKER_03
[ 00:59:18.040 -->  00:59:18.630] ADH SPEAKER_03
[ 00:59:19.069 -->  00:59:19.457] ADI SPEAKER_03
[ 00:59:19.727 -->  00:59:20.520] ADJ SPEAKER_03
[ 00:59:21.077 -->  00:59:22.157] ADK SPEAKER_03
[ 00:59:22.630 -->  00:59:23.153] ADL SPEAKER_03
[ 00:59:23.558 -->  00:59:24.030] ADM SPEAKER_03
[ 00:59:24.452 -->  00:59:25.684] ADN SPEAKER_03
[ 00:59:25.904 -->  00:59:26.376] ADO SPEAKER_03
[ 00:59:27.000 -->  00:59:28.587] ADP SPEAKER_03
[ 00:59:29.025 -->  00:59:32.249] ADQ SPEAKER_03
[ 00:59:32.755 -->  00:59:34.172] ADR SPEAKER_03
[ 00:59:34.493 -->  00:59:36.552] ADS SPEAKER_03
[ 00:59:37.260 -->  00:59:39.319] ADT SPEAKER_03
[ 00:59:39.471 -->  00:59:40.382] ADU SPEAKER_03
[ 00:59:40.652 -->  00:59:41.361] ADV SPEAKER_03
[ 00:59:41.783 -->  00:59:43.420] ADW SPEAKER_03
[ 00:59:43.909 -->  00:59:44.871] ADX SPEAKER_03
[ 00:59:45.411 -->  00:59:48.060] ADY SPEAKER_03
[ 00:59:48.550 -->  00:59:51.233] ADZ SPEAKER_03
[ 00:59:51.554 -->  00:59:52.330] AEA SPEAKER_03
[ 00:59:52.667 -->  00:59:52.988] AEB SPEAKER_03
[ 00:59:53.376 -->  00:59:58.034] AEC SPEAKER_03
[ 00:59:58.574 -->  00:59:59.805] AED SPEAKER_03
[ 01:00:00.548 -->  01:00:01.189] AEE SPEAKER_03
[ 01:00:01.560 -->  01:00:03.687] AEF SPEAKER_03
[ 01:00:04.058 -->  01:00:05.627] AEG SPEAKER_03
[ 01:00:06.319 -->  01:00:08.783] AEH SPEAKER_03
[ 01:00:09.272 -->  01:00:10.892] AEI SPEAKER_03
[ 01:00:11.010 -->  01:00:11.517] AEJ SPEAKER_03
[ 01:00:11.584 -->  01:00:12.732] AEK SPEAKER_03
[ 01:00:13.103 -->  01:00:13.609] AEL SPEAKER_03
[ 01:00:14.166 -->  01:00:16.394] AEM SPEAKER_03
[ 01:00:17.069 -->  01:00:19.414] AEN SPEAKER_03
[ 01:00:19.752 -->  01:00:21.270] AEO SPEAKER_03
[ 01:00:21.878 -->  01:00:22.907] AEP SPEAKER_03
[ 01:00:23.549 -->  01:00:25.050] AEQ SPEAKER_03
[ 01:00:25.422 -->  01:00:26.738] AER SPEAKER_03
[ 01:00:27.194 -->  01:00:30.754] AES SPEAKER_03
[ 01:00:31.682 -->  01:00:33.150] AET SPEAKER_03
[ 01:00:33.910 -->  01:00:36.407] AEU SPEAKER_03
[ 01:00:37.082 -->  01:00:37.960] AEV SPEAKER_03
[ 01:00:38.702 -->  01:00:39.023] AEW SPEAKER_03
[ 01:00:39.124 -->  01:00:40.795] AEX SPEAKER_03
[ 01:00:40.964 -->  01:00:42.027] AEY SPEAKER_03
[ 01:00:42.786 -->  01:00:45.233] AEZ SPEAKER_03
[ 01:00:45.351 -->  01:00:46.870] AFA SPEAKER_03
[ 01:00:47.410 -->  01:00:49.654] AFB SPEAKER_03
[ 01:00:50.059 -->  01:00:50.802] AFC SPEAKER_03
[ 01:00:51.325 -->  01:00:52.236] AFD SPEAKER_03
[ 01:00:52.455 -->  01:00:53.805] AFE SPEAKER_03
[ 01:00:53.974 -->  01:00:56.894] AFF SPEAKER_03
[ 01:00:57.315 -->  01:00:58.986] AFG SPEAKER_03
[ 01:00:59.459 -->  01:01:01.315] AFH SPEAKER_03
[ 01:01:02.091 -->  01:01:02.935] AFI SPEAKER_03
[ 01:01:03.357 -->  01:01:04.639] AFJ SPEAKER_03
[ 01:01:04.740 -->  01:01:06.428] AFK SPEAKER_03
[ 01:01:06.765 -->  01:01:09.600] AFL SPEAKER_03
[ 01:01:10.039 -->  01:01:11.997] AFM SPEAKER_03
[ 01:01:12.419 -->  01:01:12.942] AFN SPEAKER_03
[ 01:01:13.229 -->  01:01:14.663] AFO SPEAKER_03
[ 01:01:15.321 -->  01:01:20.130] AFP SPEAKER_03
[ 01:01:20.873 -->  01:01:21.615] AFQ SPEAKER_03
[ 01:01:22.020 -->  01:01:25.345] AFR SPEAKER_03
[ 01:01:25.800 -->  01:01:26.408] AFS SPEAKER_03
[ 01:01:26.847 -->  01:01:29.108] AFT SPEAKER_03
[ 01:01:29.834 -->  01:01:31.200] AFU SPEAKER_03
[ 01:01:31.234 -->  01:01:33.293] AFV SPEAKER_03
[ 01:01:34.002 -->  01:01:39.925] AFW SPEAKER_03
[ 01:01:40.499 -->  01:01:41.309] AFX SPEAKER_03
[ 01:01:41.595 -->  01:01:45.072] AFY SPEAKER_03
[ 01:01:45.730 -->  01:01:53.897] AFZ SPEAKER_03
[ 01:01:54.387 -->  01:01:56.277] AGA SPEAKER_03
[ 01:01:57.019 -->  01:01:59.550] AGB SPEAKER_03
[ 01:01:59.770 -->  01:02:00.698] AGC SPEAKER_03
[ 01:02:00.934 -->  01:02:02.082] AGD SPEAKER_03
[ 01:02:02.774 -->  01:02:04.039] AGE SPEAKER_03
[ 01:02:04.343 -->  01:02:04.714] AGF SPEAKER_03
[ 01:02:05.220 -->  01:02:06.081] AGG SPEAKER_03
[ 01:02:06.503 -->  01:02:10.519] AGH SPEAKER_03
[ 01:02:11.211 -->  01:02:13.371] AGI SPEAKER_03
[ 01:02:13.810 -->  01:02:15.548] AGJ SPEAKER_03
[ 01:02:15.835 -->  01:02:17.759] AGK SPEAKER_03
[ 01:02:18.164 -->  01:02:21.707] AGL SPEAKER_03
[ 01:02:22.214 -->  01:02:23.209] AGM SPEAKER_03
[ 01:02:23.310 -->  01:02:26.044] AGN SPEAKER_03
[ 01:02:26.635 -->  01:02:29.436] AGO SPEAKER_03
[ 01:02:29.858 -->  01:02:31.664] AGP SPEAKER_03
[ 01:02:32.187 -->  01:02:33.452] AGQ SPEAKER_03
[ 01:02:33.840 -->  01:02:36.777] AGR SPEAKER_03
[ 01:02:37.232 -->  01:02:39.612] AGS SPEAKER_03
[ 01:02:37.266 -->  01:02:37.789] AGT SPEAKER_04
[ 01:02:39.696 -->  01:02:40.354] AGU SPEAKER_03
[ 01:02:40.894 -->  01:02:45.282] AGV SPEAKER_03
[ 01:02:45.788 -->  01:02:50.074] AGW SPEAKER_03
[ 01:02:50.935 -->  01:02:51.492] AGX SPEAKER_03
[ 01:02:51.981 -->  01:02:52.538] AGY SPEAKER_03
[ 01:02:52.977 -->  01:02:54.445] AGZ SPEAKER_03
